,agencyAcronym,allowLateComment,attachmentCount,commentDueDate,commentStartDate,docketId,docketTitle,docketType,documentId,documentStatus,documentType,frNumber,numberOfCommentsReceived,openForComment,postedDate,rin,title,StartDate,Medicare,Medicaid,Patient_Protection,Health_Reimbursement_Arrangements
36,CMS,False,0,2018-06-25T23:59:59-04:00,2018-05-07 04:00:00,CMS-2018-0046,Medicare Program; Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and the Long Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2019 Rates; Proposed Quality Reporting Requirements for Specific Providers; Proposed Medicare and Medicaid Electronic Health Record (EHR) Incentive Programs (Promoting Interoperability Programs) Requirements,Rulemaking,CMS-2018-0046-0002,Posted,Proposed Rule,2018-08705,1058,False,2018-05-11T00:00:00-04:00,0938-AT27,Medicare Programs: Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and Long Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2019 Rates; etc.,2018-05-07,1,0,0,0
37,CMS,False,0,2018-05-22T23:59:59-04:00,2018-03-23 04:00:00,CMS-2018-0031,Medicaid Program: Methods for Assuring Access to Cover Medicaid Services- Exceptions for States With High Managed Care Penetration Rates and Rate Reduction Threshold. (CMS-2406-P),Rulemaking,CMS-2018-0031-0001,Posted,Proposed Rule,2018-05898,155,False,2018-03-23T00:00:00-04:00,0938-AT41,Medicaid Program: Methods for Assuring Access to Covered Medicaid Services-Exemptions for States with High Managed Care Penetration Rates and Rate Reduction Threshold,2018-03-23,0,1,0,0
38,CMS,False,0,2018-02-21T23:59:59-05:00,2018-02-20 05:00:00,CMS-2018-0015,Short Term Limited Duration Insurance CMS-9924-P,Rulemaking,CMS-2018-0015-0001,Posted,Proposed Rule,,134,False,2018-02-20T00:00:00-05:00,0938-AT48,Short Term Limited Duration Insurance CMS-9924-P,2018-02-20,0,0,0,0
39,CMS,False,0,2018-04-23T23:59:59-04:00,2018-02-21 05:00:00,CMS-2018-0015,Short Term Limited Duration Insurance CMS-9924-P,Rulemaking,CMS-2018-0015-0002,Posted,Proposed Rule,2018-03208,9120,False,2018-02-21T00:00:00-05:00,0938-AT48,"Short-Term, Limited-Duration Insurance CMS-9924-P",2018-02-21,0,0,0,0
40,CMS,False,0,2018-03-12T23:59:59-04:00,2018-01-09 05:00:00,CMS-2017-0165,"Request for Information: Revisions to Personnel Regulations, Proficiency Testing Referral, Histocompatibility Regulations and Fee Regulations under the Clinical Laboratory Improvement Amendments of 1988 (CLIA (CMS-3326-NC)",Rulemaking,CMS-2017-0165-0003,Posted,Proposed Rule,2017-27887,8700,False,2018-01-09T00:00:00-05:00,Not Assigned,"Requests for Information: Revisions to Personnel Regulations, Proficiency Testing Referral, Histocompatibility Regulations and Fee Regulations Under Clinical Laboratory Improvement Amendments of 1988",2018-01-09,0,0,0,0
42,CMS,False,0,2018-01-16T23:59:59-05:00,2017-12-18 05:00:00,CMS-2017-0156,Policy and Technical Changes to the Medicare Advantage and the Medicare Prescription Drug Benefit Programs For Contract Year 2019 CMS-4182-P,Rulemaking,CMS-2017-0156-0046,Posted,Proposed Rule,2017-25068,1777,False,2017-11-28T00:00:00-05:00,0983-AT08,"Medicare Program; Contract Year 2019 Policy and Technical Changes to the Medicare Advantage, Medicare Cost Plan, Medicare Fee-for-Service, the Medicare Prescription Drug Benefit Programs, and the PACE Program",2017-12-18,1,0,0,0
43,CMS,False,0,2017-11-28T23:59:59-05:00,2017-11-20 05:00:00,CMS-2017-0156,Policy and Technical Changes to the Medicare Advantage and the Medicare Prescription Drug Benefit Programs For Contract Year 2019 CMS-4182-P,Rulemaking,CMS-2017-0156-0001,Posted,Proposed Rule,,45,False,2017-11-20T00:00:00-05:00,0983-AT08,Policy and Technical Changes to the Medicare Advantage and the Medicare Prescription Drug Benefit Programs for Contract Year 2019 CMS-4182-P,2017-11-20,1,0,0,0
44,CMS,False,0,2017-11-27T23:59:59-05:00,2017-11-02 04:00:00,CMS-2017-0141,Patient Protection and Affordable Care Act; HHS Notice of Benefit and Payment Parameters for 2019 (CMS-9930-P),Rulemaking,CMS-2017-0141-0002,Posted,Proposed Rule,2017-23599,424,False,2017-11-02T00:00:00-04:00,0938-AT12,Patient Protection and Affordable Care Act: Benefit and Payment Parameters for 2019,2017-11-02,0,0,1,0
45,CMS,False,0,2017-10-16T23:59:59-04:00,2017-08-17 04:00:00,CMS-2017-0120,"Medicare Program; Cancellation of
Advancing Care Coordination Through
Episode Payment and Cardiac
Rehabilitation Incentive Payment
Models; Changes to Comprehensive
Care for Joint Replacement Payment
Model (CMS–5524–P)",Rulemaking,CMS-2017-0120-0001,Posted,Proposed Rule,2017-17446,85,False,2017-08-17T00:00:00-04:00,0938-AT16,Medicare Program: Cancellation of Advancing Care Coordination through Episode Payment and Cardiac Rehabilitation Incentive Payment Models; Changes to Comprehensive Care for Joint Replacement Payment Model (CMS-5524-P),2017-08-17,1,0,0,0
47,CMS,False,0,2017-08-28T23:59:59-04:00,2017-07-28 04:00:00,CMS-2017-0101,Medicaid Program; State Disproportionate Share Hospital Allotment Reductions (CMS-2394-P),Rulemaking,CMS-2017-0101-0002,Posted,Proposed Rule,2017-15962,140,False,2017-07-28T00:00:00-04:00,0938-AS63,Medicaid Program: State Disproportionate Share Hospital Allotment Reductions,2017-07-28,0,1,0,0
49,CMS,False,0,2017-09-25T23:59:59-04:00,2017-07-28 04:00:00,CMS-2017-0100,Medicare and Medicaid Programs; CY 2018 Home Health Prospective Payment System Rate Update and Proposed CY 2019 Case-Mix Adjustment Methodology Refinements; Home Health Value-Based Purchasing Model; and Home Health Quality Reporting Requirements” (CMS-1672-P),Rulemaking,CMS-2017-0100-0002,Posted,Proposed Rule,2017-15825,1349,False,2017-07-28T00:00:00-04:00,0938-AT01,"Medicare and Medicaid Programs: Home Health Prospective Payment System Rate Update, etc.",2017-07-28,1,1,0,0
51,CMS,False,0,2017-09-11T23:59:59-04:00,2017-07-21 04:00:00,CMS-2017-0092,Medicare Program; Revisions to Payment Policies under the Physician Fee Schedule and Other Revisions to Part B for CY 2018; Medicare Shared Savings Program Requirements; and Medicare Diabetes Prevention Program (CMS-1676-),Rulemaking,CMS-2017-0092-0012,Posted,Proposed Rule,2017-14639,2525,False,2017-07-21T00:00:00-04:00,0938-AT02,Medicare Program: Revisions to Payment Policies Under Physician Fee Schedule and Other Revisions to Part B for CY 2018; Medicare Shared Savings Program Requirements; and Medicare Diabetes Prevention Program,2017-07-21,1,0,0,0
52,CMS,False,0,2017-07-20T23:59:59-04:00,2017-07-14 04:00:00,CMS-2017-0091,CY 2018 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates CMS-1678-P,Rulemaking,CMS-2017-0091-0001,Posted,Proposed Rule,,23,False,2017-07-14T00:00:00-04:00,0938-AT03,CY 2018 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates CMS-1678-P,2017-07-14,0,0,0,0
53,CMS,False,0,2017-09-11T23:59:59-04:00,2017-07-20 04:00:00,CMS-2017-0091,CY 2018 Hospital Outpatient PPS Policy Changes and Payment Rates and Ambulatory Surgical Center Payment System Policy Changes and Payment Rates CMS-1678-P,Rulemaking,CMS-2017-0091-0002,Posted,Proposed Rule,2017-14883,3307,False,2017-07-20T00:00:00-04:00,0938-AT03,Medicare Program: Hospital Outpatient Prospective Payment and Ambulatory Surgical Center Payment Systems and Quality Reporting Programs,2017-07-20,1,0,0,0
54,CMS,False,0,2017-07-05T23:59:59-04:00,2017-06-29 04:00:00,CMS-2017-0084,Medicare and Medicaid Programs: End Stage Renal Disease Prospective Payment System.  CMS-1674-P,Rulemaking,CMS-2017-0084-0001,Posted,Proposed Rule,,0,False,2017-06-29T00:00:00-04:00,0938-AT04,"Medicare Program; End-Stage Renal Disease Prospective Payment System, Payment for Renal Dialysis Services Furnished to Individuals with Acute Kidney Injury, and End-Stage Renal Disease Quality Incentive Program --Proposed Rule (CMS-1674-P)",2017-06-29,1,0,0,0
55,CMS,False,0,2017-08-28T23:59:59-04:00,2017-07-05 04:00:00,CMS-2017-0084,Medicare and Medicaid Programs: End Stage Renal Disease Prospective Payment System.  CMS-1674-P,Rulemaking,CMS-2017-0084-0002,Posted,Proposed Rule,2017-13908,58,False,2017-07-05T00:00:00-04:00,0938-AT04,"Medicare Program: End-Stage Renal Disease Prospective Payment System, Payment for Renal Dialysis Services Furnished to Individuals with Acute Kidney Injury, and End-Stage Renal Disease Quality Incentive Program CMS-1674-P",2017-07-05,1,0,0,0
56,CMS,False,0,2017-08-21T23:59:59-04:00,2017-06-30 04:00:00,CMS-2017-0082,"Medicare Program; CY 2018 Updates to the Quality Payment Program (CMS-5522-P, CMS-5522-FC, CMS-5522-IFC)",Rulemaking,CMS-2017-0082-0002,Posted,Proposed Rule,2017-13010,1300,False,2017-06-30T00:00:00-04:00,0938-AT13,Medicare Program: CY 2018 Updates to the Quality Payment Program,2017-06-30,1,0,0,0
58,CMS,False,0,2017-07-12T23:59:59-04:00,2017-06-12 04:00:00,CMS-2017-0078,Patient Protection and Affordable Care Act: Reducing Regulatory Burdens & Improving Health Care Choices to Empower Patients (CMS-9928-NC),Rulemaking,CMS-2017-0078-0001,Posted,Proposed Rule,2017-12130,3277,False,2017-06-12T00:00:00-04:00,0938-ZB39,Patient Protection and Affordable Care Act: Reducing Regulatory Burdens and Improving Health Care Choices To Empower Patients,2017-06-12,0,0,1,0
59,CMS,False,0,2017-08-07T23:59:59-04:00,2017-06-08 04:00:00,CMS-2017-0076,"Revision of Requirements for Long-Term Care
Facilities:  Arbitration Agreements CMS-3342-P",Rulemaking,CMS-2017-0076-0001,Posted,Proposed Rule,2017-11883,1020,False,2017-06-08T00:00:00-04:00,0938-AT18,Medicare and Medicaid Programs: Long Term Care Facilities:  Arbitration Agreements,2017-06-08,1,1,0,0
60,CMS,False,0,2017-06-26T23:59:59-04:00,2017-05-03 04:00:00,CMS-2017-0062,FY 2018 Hospice Wage Index and Payment Rate Update and Hospice Quality Reporting Requirements CMS-1675-P,Rulemaking,CMS-2017-0062-0001,Posted,Proposed Rule,2017-08563,91,False,2017-05-03T00:00:00-04:00,0938-AT00,Medicare Program: FY 2018 Hospice Wage Index and Payment Rate Update and Hospice Quality Reporting Requirements,2017-05-03,1,0,0,0
62,CMS,False,0,2017-08-25T23:59:59-04:00,2017-05-04 04:00:00,CMS-2017-0061,Medicare Program; Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities: Revisions to Case-mix Methodology (CMS-1686-ANPRM),Rulemaking,CMS-2017-0061-0002,Posted,Proposed Rule,2017-08519,254,False,2017-05-04T00:00:00-04:00,0938-AT17,Medicare Program: Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities: Revisions to Case-Mix Methodology,2017-05-04,1,0,0,0
63,CMS,False,0,2017-06-26T23:59:59-04:00,2017-05-04 04:00:00,CMS-2017-0060,"Medicare Program; Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities for FY 2018, SNF Value-Based Purchasing Program, SNF Quality Reporting Program, Survey Team Composition, and Proposal to Correct the Performance Period for the NHSN HCP Influenza Vaccination Immunization Reporting Measure in the ESRD QIP for PY 2020 (CMS-1679-P)",Rulemaking,CMS-2017-0060-0002,Posted,Proposed Rule,2017-08521,253,False,2017-05-04T00:00:00-04:00,0938-AS96,"Medicare Program: Prospective Payment System and Consolidated Billing for Skilled Nursing Facilities for FY 2018, SNF Value-Based Purchasing Program, etc.",2017-05-04,1,0,0,0
65,CMS,False,0,2017-06-26T23:59:59-04:00,2017-05-03 04:00:00,CMS-2017-0059,Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2018 (CMS-1671-P),Rulemaking,CMS-2017-0059-0002,Posted,Proposed Rule,2017-08428,75,False,2017-05-03T00:00:00-04:00,0938-AS99,Medicare Program: Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2018 CMS-1671-P,2017-05-03,1,0,0,0
69,CMS,False,0,2017-04-28T23:59:59-04:00,2017-04-19 04:00:00,CMS-2017-0055,Hospital Inpatient Prospective Payment System for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Fiscal Year 2018 Rates CMS-1677-P,Rulemaking,CMS-2017-0055-0001,Posted,Proposed Rule,,0,False,2017-04-19T00:00:00-04:00,0938-AS98,Hospital Inpatient Prospective Payment System for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment  System and Fiscal Year 2018  Rates.  CMS-1677-P,2017-04-19,0,0,0,0
70,CMS,False,0,2017-06-13T23:59:59-04:00,2017-04-28 04:00:00,CMS-2017-0055,Hospital Inpatient Prospective Payment System for Acute Care Hospitals and the Long-Term Care Hospital Prospective Payment System and Fiscal Year 2018 Rates CMS-1677-P,Rulemaking,CMS-2017-0055-0003,Posted,Proposed Rule,2017-07800,4409,False,2017-04-28T00:00:00-04:00,0938-AS98,Medicare Program: Hospital Inpatient Prospective Payment Systems for Acute Care Hospitals and Long Term Care Hospital Prospective Payment System and Proposed Policy Changes and Fiscal Year 2018 Rates; etc.,2017-04-28,1,0,0,0
72,CMS,False,0,2017-03-07T23:59:59-05:00,2017-02-17 05:00:00,CMS-2017-0021,Patient Protection and Affordable Care Act; Market Stabilization,Rulemaking,CMS-2017-0021-0002,Posted,Proposed Rule,2017-03027,3954,False,2017-02-17T00:00:00-05:00,0938-AT14,Patient Protection and Affordable Care Act; Market Stabilization,2017-02-17,0,0,1,0
73,CMS,False,0,2017-03-13T23:59:59-04:00,2017-01-12 05:00:00,CMS-2017-0004,"Medicare Program; Establishment of Special Payment Provisions and
Requirements for Qualified Practitioners and Qualified Suppliers
of Prosthetics and Custom-Fabricated Orthotics  (CMS-6012-P)",Rulemaking,CMS-2017-0004-0001,Posted,Proposed Rule,2017-00425,5296,False,2017-01-12T00:00:00-05:00,0938-AR84,Medicare Program: Establishment of Special Payment Provisions and Requirements for Qualified Practitioners and Qualified Suppliers of Prosthetics and Custom Fabricated Orthotics,2017-01-12,1,0,0,0
75,CMS,False,0,2017-10-04T23:59:59-04:00,2017-10-04 04:00:00,CMS-2014-0165,Revisions to Patient’s Rights Conditions for Participation and Conditions for Coverage CMS-3302-P,Rulemaking,CMS-2014-0165-0099,Posted,Proposed Rule,2017-21425,0,False,2017-10-04T00:00:00-04:00,0938-AS29,Medicare Program: Establishment of Special Payment Provisions and Requirements for Qualified Practitioners and Qualified Suppliers of Prosthetics and Custom Fabricated Orthotics; Withdrawal,2017-10-04,1,0,0,0
77,CMS,False,0,2017-06-02T23:59:59-04:00,2017-04-03 04:00:00,CMS-2014-0132,Home Health Agency Conditions of Participation CMS-3819-P,Rulemaking,CMS-2014-0132-0196,Posted,Proposed Rule,2017-06540,60,False,2017-04-03T00:00:00-04:00,Not Assigned,Medicare and Medicaid Programs: Conditions of Participation for Home Health Agencies; Delay of Effective Date CMS-3819-P2,2017-04-03,1,1,0,0
